CASEID;WEIGHT;TM_START;TM_FINISH;DURATION;Q1;Q1_TEXT;Q2;Q3;Q4;Q5;Q6;Q7_1;Q7_2;Q8_1;Q8_2;Q8_3;Q8_4;Q8_5;Q8_6;Q8B;Q9;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q10_9;Q10_10;Q10_11;Q10_12;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q12;Q13;Q14_1;Q14_2;Q14_3;Q14_4;Q14_5;Q14_6;Q14_7;Q15_1;Q15_2;Q15_3;Q15_4;Q15_5;Q15_6;Q15_7;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q17;Q18;Q19;Q21_1;Q21_2;Q21_3;Q21_4;Q21_5;Q21_6;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q23_2;Q23_4;Q23_8;Q24_1;Q24_2;Q24_3;Q24_4;Q24_5;Q24_6;Q24_7;Q24_8;Q24_9;Q24_10;Q25_1;Q25_2;Q25_3;Q25_4;Q25_5;Q25_6;Q25_7;Q25_8;Q25_9;Q27_1;Q27_2;Q27_3;Q27_4;Q28_1;Q28_2;Q28_3;Q28_4;Q29_1;Q29_2;Q30_1;Q30_2;Q30_3;Q30_4;Q30_5;Q30_6;Q30_7;Q30_8;Q30_9;Q30_10;Q30_11;Q30_12;Q30_13;Q30_14;Q30_15;Q30_16;Q30_17;Q31_1;Q31_2;Q31_3;Q31_4;Q31_5;Q31_6;Q31_7;Q32_1;Q32_2;Q32_3;Q32_4;Q32_5;Q32_6;Q34_1;Q34_2;Q34_3;Q34_4;Q35_1;Q35_2;Q35_3;Q35_4;Q35_5;Q35_6;Q35_7;Q35_8;Q35_9;Q35_10;Q35_11;Q35_12;Q35_13;Q35_14;Q35_15;Q35_16;Q35_17;Q35_18;Q36_1;Q36_2;Q36_3;Q36_4;Q36_5;Q36_6;Q37_1;Q37_2;Q37_3;Q37_4;Q37_5;Q37_6;Q37_7;Q37_8;Q38_1;Q38_2;Q38_3;Q40_1;Q40_2;Q40_3;Q40_4;Q40_5;Q40_6;Q40_7;Q40_8;Q41_1;Q41_2;Q41_3;Q41_4;Q41_5;Q41_6;Q41_7;Q41_8;Q41_9;Q41_10;Q41_11;Q41_12;Q41_13;Q41_14;Q41_15;Q41_16;Q41_17;Q41_18;Q41_19;Q42;Q43;Q44_1;Q44_2;Q44_3;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q45_9;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
22;0,848;5/15/2015 19:01:36;5/15/2015 19:14:22;12;3;;4;7;2;2;2;2;3;2;2;2;2;2;2;7;2;5;6;5;4;6;6;6;4;6;2;2;6;4;5;2;2;3;1;4;2;2;2;1;1;1;3;4;1;2;1;3;2;2;3;2;3;3;3;3;2;3;4;4;3;4;4;3;3;4;3;4;4;3;2;4;4;4;3;4;4;4;2;1;1;2;2;3;3;3;2;2;1;2;1;7;1;8;1;3;8;2;2;2;2;4;3;1;2;4;3;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;3;4;3;4;4;3;1;1;2;4;4;4;4;4;4;4;2;1;4;4;4;3;2;4;4;4;3;3;4;4;4;4;4;4;3;4;4;4;4;2;1;2;1;2;2;2;3;1;1;1;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;1;1;1;1;;;;;;;;;;24;1;1;12;4;1;2;1;3;3;8;1;1;4;8;2;87;1;0;0;0;2;3;1;5;4;2;1;1;3
23;0,68;5/15/2015 19:01:44;5/15/2015 19:25:57;24;2;;1;1;4;2;4;2;2;2;2;2;2;2;2;7;7;5;6;1;2;4;4;6;1;6;6;6;6;1;2;1;3;1;2;3;4;2;2;1;1;1;4;4;2;2;2;2;1;3;2;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;2;2;2;2;3;2;2;2;3;3;3;1;1;1;3;7;3;1;1;1;2;2;2;2;4;3;2;2;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;4;5;5;3;3;3;5;3;3;2;2;2;3;3;4;5;3;3;4;4;4;3;4;4;3;4;4;4;4;2;4;4;4;4;4;4;3;3;4;3;4;4;2;2;2;1;1;3;2;3;1;1;1;4;4;4;4;4;3;3;3;4;4;3;4;3;4;4;4;3;3;3;3;3;2;3;3;1;2;4;2;2;2;3;3;2;4;4;4;2;3;3;3;3;63;5;4;9;2;1;1;1;2;1;15;1;1;2;3;1;33;0;0;0;0;2;5;1;1;2;1;1;1;2
24;0,8466;5/15/2015 19:02:07;5/15/2015 19:24:45;22;3;;4;4;2;4;6;3;3;2;2;2;2;2;2;3;4;3;6;4;4;4;4;4;1;6;3;6;6;1;2;3;2;5;2;3;4;2;2;2;2;3;4;4;1;2;1;1;1;3;3;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;3;2;2;2;3;3;2;2;3;3;3;3;3;3;6;2;2;8;6;1;1;1;2;2;2;2;1;1;1;2;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;3;3;4;5;3;3;1;3;3;3;4;4;4;4;4;4;4;1;2;4;4;1;3;4;1;3;2;3;4;4;3;2;3;3;3;3;3;3;3;3;2;3;1;2;2;4;3;4;2;2;2;2;2;3;2;2;2;4;4;2;4;3;2;4;4;3;3;3;3;3;3;3;3;2;2;3;2;2;2;3;2;3;4;4;3;3;3;3;3;3;57;5;3;10;3;1;2;0;2;1;8;1;0;3;7;3;71;0;0;0;0;2;6;1;3;3;2;1;1;3
25;0,8407;5/15/2015 19:03:18;5/15/2015 19:25:13;21;10;;1;1;5;4;7;4;4;2;2;2;2;2;2;4;5;6;6;3;6;5;4;6;2;6;5;5;6;1;1;3;3;1;1;1;6;4;4;4;4;2;4;4;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;3;4;4;2;4;4;3;1;1;9;4;6;1;1;1;2;2;2;2;3;1;1;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;2;2;2;3;3;3;6;6;4;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;2;3;3;4;4;4;3;4;4;4;4;4;4;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;2;2;3;3;3;2;2;2;2;2;2;2;2;2;47;4;3;12;4;2;1;1;1;3;9;5;1;1;2;2;21;0;0;0;0;1;1;1;1;4;1;5;2;5
26;1,1055;5/15/2015 19:03:50;5/15/2015 19:21:54;18;4;;2;8;2;6;5;2;2;1;1;2;2;2;2;7;4;1;6;3;4;3;4;6;3;6;2;6;6;2;1;3;1;1;2;3;2;2;2;5;5;2;4;5;2;2;2;2;2;2;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;2;3;2;3;2;3;3;3;2;2;1;1;1;1;1;2;1;1;1;2;2;2;1;4;4;4;4;2;2;4;4;4;4;3;4;4;4;4;3;4;4;4;4;2;2;4;5;5;3;3;2;5;5;3;3;2;3;3;3;2;2;2;2;1;1;2;2;4;4;4;3;1;4;2;2;3;4;4;1;4;4;3;3;4;3;3;4;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;2;3;2;3;2;2;2;3;2;3;2;2;3;3;3;3;3;3;60;5;4;10;3;1;2;1;1;3;14;3;1;1;1;2;14;0;0;0;0;1;1;0;5;3;2;3;1;4
27;0,7467;5/15/2015 19:04:31;5/15/2015 19:21:41;17;1;;3;4;2;4;4;2;2;2;2;2;2;2;2;5;3;4;4;2;3;4;4;4;1;6;4;6;6;3;1;6;4;5;1;3;5;3;3;3;3;3;4;2;3;2;2;2;2;2;3;3;4;4;3;3;3;4;3;3;4;2;4;4;2;4;3;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;3;3;3;3;4;4;4;1;3;3;1;4;3;1;3;2;2;2;2;3;4;3;3;3;2;4;4;3;3;3;4;4;4;3;3;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;2;3;3;3;5;5;5;5;3;3;3;3;3;4;3;3;4;4;4;3;3;4;4;4;2;2;2;2;4;2;3;3;2;2;2;2;2;3;3;3;2;2;2;3;3;3;3;4;3;3;3;3;3;2;4;2;2;2;3;2;3;3;3;2;2;3;1;3;2;3;2;2;3;2;2;-1;2;3;4;2;3;3;3;4;65;6;4;10;3;1;1;1;2;3;6;1;1;2;4;2;41;0;0;0;0;2;5;0;3;3;1;1;1;1
28;1,0113;5/15/2015 19:05:03;5/18/2015 15:14:10;4089;1;;2;4;2;5;4;2;2;2;2;2;2;2;2;7;1;4;6;6;6;4;6;6;6;6;4;2;6;2;1;6;1;2;2;2;4;5;5;5;5;2;5;5;2;3;2;2;1;2;3;4;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;2;1;1;2;3;2;1;3;4;4;4;2;3;3;3;2;2;3;2;2;2;3;1;1;9;8;9;5;1;3;2;1;2;2;4;3;1;3;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;3;2;2;3;4;4;4;4;4;4;4;3;3;1;4;4;4;3;5;5;2;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;2;3;3;3;3;3;3;3;3;3;29;2;1;12;4;1;1;1;4;1;13;6;1;3;7;2;74;0;0;0;0;4;1;1;3;4;1;6;1;1
29;0,5076;5/15/2015 19:05:14;5/15/2015 19:17:58;12;2;;3;4;2;4;3;2;2;2;2;2;2;2;2;6;5;3;3;3;4;3;3;3;3;4;4;2;3;5;4;5;3;5;2;3;4;1;1;1;1;1;4;2;2;3;2;3;2;3;3;3;3;2;4;4;3;3;4;4;3;4;4;4;2;4;3;2;1;2;2;3;3;4;4;3;4;3;3;1;1;3;2;3;3;3;2;2;6;4;6;4;6;3;7;5;6;2;2;2;2;3;2;1;4;4;3;4;4;4;4;3;4;4;4;4;4;3;3;4;4;4;3;4;4;4;4;4;3;4;4;1;1;1;3;3;4;3;6;5;2;3;2;1;1;4;3;3;2;3;4;1;2;4;3;3;4;4;4;1;2;2;1;1;1;2;1;2;1;2;2;2;3;2;2;2;1;2;1;1;3;2;3;3;3;4;3;3;2;4;4;3;3;4;4;4;4;3;3;4;3;3;3;3;2;2;3;3;2;3;2;3;2;3;2;2;3;19;1;1;9;2;5;2;0;4;1;12;5;0;2;4;1;42;0;0;0;0;4;4;1;3;2;2;5;5;2
31;1,073;5/15/2015 19:05:18;5/15/2015 19:22:36;17;10;;2;3;5;6;5;3;2;2;2;2;2;3;3;4;3;5;5;5;6;6;6;5;4;5;2;2;5;1;2;3;2;1;1;4;1;2;2;2;3;2;4;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;3;4;3;4;4;4;4;3;3;3;2;3;4;3;3;4;4;4;1;4;4;4;3;3;3;3;2;1;6;3;7;7;7;3;7;1;7;2;2;2;1;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;3;4;1;3;4;4;4;4;4;4;4;4;3;4;4;3;4;4;3;4;3;4;3;4;4;4;4;4;4;3;3;4;4;4;2;2;2;2;2;2;2;2;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;3;3;3;3;3;3;3;3;3;3;21;1;1;10;3;1;2;0;2;1;14;5;1;2;3;1;33;0;0;0;0;2;1;1;2;3;2;5;1;5
32;1,0909;5/15/2015 19:05:34;5/15/2015 19:25:19;19;9;Occult;4;1;2;2;4;2;2;2;2;2;2;1;2;7;1;6;5;5;5;6;6;5;6;6;5;6;6;1;1;4;1;1;1;3;2;2;2;2;2;2;4;3;2;2;2;2;1;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;3;2;2;2;3;3;3;1;1;1;3;1;1;1;1;1;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;4;4;3;2;2;2;2;3;3;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;2;2;2;2;3;3;3;4;4;4;4;4;3;2;2;4;4;4;4;4;3;4;3;3;3;3;3;3;4;4;4;3;3;3;3;2;2;3;3;4;4;4;4;4;4;4;4;1;59;5;3;10;3;1;1;1;2;3;7;1;1;3;5;2;51;0;0;0;0;2;7;0;1;3;1;1;1;4
33;0,5537;5/15/2015 19:05:53;5/15/2015 19:29:08;23;1;;3;6;2;3;2;3;3;1;2;2;2;3;2;7;2;1;6;2;1;4;6;2;4;3;2;6;6;1;1;2;2;1;1;3;2;3;4;2;3;2;4;4;2;2;2;3;2;2;2;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;3;4;2;2;4;4;3;3;4;3;4;1;4;6;1;5;5;1;3;2;1;2;1;3;1;2;2;3;2;4;4;4;4;3;4;4;4;4;4;3;3;4;4;2;2;4;5;5;3;4;3;3;3;3;3;2;3;3;3;2;5;4;3;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;1;1;1;2;3;2;2;1;1;1;3;3;3;3;3;2;2;3;4;4;3;4;4;4;4;2;3;3;2;4;2;3;2;1;3;3;4;2;2;2;3;3;3;4;4;4;4;3;3;3;4;73;6;4;13;4;1;1;1;2;1;15;1;1;2;3;1;31;0;0;0;0;2;5;1;4;4;1;1;1;1
34;0,8297;5/15/2015 19:06:51;5/15/2015 19:43:38;36;1;;3;6;2;4;2;2;2;2;2;2;2;1;2;7;6;2;5;1;5;5;5;6;1;6;5;1;3;3;1;7;3;3;1;4;2;1;1;1;1;1;4;4;1;2;1;1;1;1;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;3;2;2;2;2;3;2;2;3;1;6;7;8;7;1;1;1;2;2;2;1;4;3;3;4;2;2;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;3;2;3;3;3;3;3;3;3;3;4;3;3;4;4;4;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;2;2;2;3;3;4;4;4;3;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;3;3;;;;;;;;;;78;7;4;9;2;1;2;1;2;1;13;1;1;3;6;1;61;0;0;0;0;2;5;1;4;2;2;1;1;1
35;0,8947;5/15/2015 19:06:52;5/15/2015 19:25:20;18;2;;2;3;5;4;5;4;2;1;2;2;2;2;1;7;7;3;6;6;6;6;6;6;1;6;6;6;6;1;1;7;7;1;1;4;8;2;2;2;1;1;3;1;2;2;1;1;1;1;1;4;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;2;4;4;2;2;4;4;1;3;2;4;1;1;1;1;1;4;1;3;3;1;1;1;3;1;3;1;1;1;2;2;2;2;3;3;3;3;2;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;2;5;2;1;1;1;1;1;4;4;6;5;5;1;3;1;1;1;4;1;1;1;2;1;1;1;1;1;2;2;1;3;3;4;1;2;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;4;4;1;1;1;3;3;1;1;1;1;70;6;4;9;2;4;2;1;3;1;6;2;1;3;7;1;74;0;0;0;0;3;5;1;2;2;2;2;4;2
36;1,4382;5/15/2015 19:06:52;5/15/2015 22:18:33;191;1;;4;7;1;6;6;2;2;2;2;2;2;2;2;7;3;2;5;1;3;4;4;4;1;3;4;4;4;1;1;3;3;1;1;4;6;5;2;2;2;5;5;5;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;2;3;2;3;4;4;7;7;7;7;7;3;3;2;1;2;2;3;3;3;3;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;3;3;2;2;2;2;2;2;4;1;2;3;3;2;1;2;2;2;1;1;4;2;2;2;2;1;4;3;2;2;2;3;2;2;2;2;2;2;2;3;2;4;2;2;2;1;2;2;2;3;2;2;2;2;2;2;2;3;2;2;1;2;1;2;2;3;2;2;2;3;3;3;2;2;2;2;44;3;2;9;2;2;1;1;2;1;17;1;1;3;5;1;52;0;0;0;0;2;1;1;5;2;1;1;2;1
37;0,9522;5/15/2015 19:07:39;5/15/2015 19:28:22;20;2;;1;1;4;6;7;3;3;1;1;2;2;2;2;7;2;2;2;2;6;6;6;6;6;6;6;6;6;1;1;1;1;1;1;3;5;3;2;3;3;2;3;3;2;3;2;2;2;2;2;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;2;2;2;2;2;3;3;3;2;1;1;6;4;6;1;1;1;2;2;2;2;4;4;4;4;2;2;2;4;4;4;4;4;3;4;4;4;2;2;4;4;4;3;3;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;4;4;4;4;3;3;4;4;4;4;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;4;3;3;3;3;3;3;3;3;3;3;3;28;2;1;13;4;1;2;0;3;3;12;5;1;3;5;2;53;0;0;0;0;3;1;1;1;4;2;5;1;2
38;1,199;5/15/2015 19:08:34;5/16/2015 0:51:53;343;2;;2;2;4;4;4;3;3;1;2;2;2;1;2;7;2;5;5;4;4;4;4;4;4;6;3;2;4;1;1;7;7;4;4;3;5;2;2;1;2;2;4;3;1;1;1;2;1;2;2;3;3;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;2;3;1;1;4;4;7;1;1;3;1;2;2;1;3;2;1;2;3;3;3;3;3;4;3;4;3;4;3;3;3;3;4;3;2;2;3;2;2;2;2;2;3;2;2;2;1;2;3;3;4;4;4;4;3;3;3;3;3;4;2;2;4;4;3;3;3;3;4;4;3;3;3;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;4;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;4;3;3;2;3;2;2;2;3;2;3;2;3;3;3;3;4;4;3;25;2;1;13;4;4;2;1;2;1;16;1;1;1;2;1;23;0;0;0;0;2;1;1;2;4;2;1;4;2
39;0,9562;5/15/2015 19:08:45;5/15/2015 19:33:20;24;3;;3;4;1;2;2;2;2;1;1;2;2;1;2;6;2;5;6;5;5;5;5;4;1;4;5;5;6;2;2;3;1;3;1;2;2;2;2;2;2;2;4;4;2;2;2;3;2;3;3;4;4;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;3;2;3;2;3;4;4;1;1;1;3;3;3;1;5;1;2;2;2;2;4;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;3;4;2;4;3;2;2;2;2;3;2;3;3;3;3;4;4;3;4;4;4;3;3;4;4;3;3;3;4;4;4;4;4;4;3;4;3;4;4;1;1;1;1;1;1;1;2;2;2;2;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;3;3;3;3;3;3;4;3;3;3;4;2;2;3;3;3;2;3;3;4;2;3;2;2;2;47;4;3;9;2;1;1;1;4;3;13;4;1;3;5;2;56;0;0;1;0;3;1;1;3;2;1;4;1;3
40;0,8736;5/15/2015 19:08:55;5/15/2015 19:17:50;8;2;;3;7;4;3;2;2;2;1;1;2;2;2;2;5;3;3;5;3;5;6;6;2;3;2;3;4;5;1;2;2;2;3;2;4;4;2;2;2;2;2;3;2;2;2;1;2;2;2;2;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;2;2;2;2;3;2;2;2;2;4;1;1;5;3;5;2;1;1;2;2;2;2;2;1;1;1;3;3;3;4;4;4;3;4;4;4;4;3;3;3;3;3;2;2;2;4;4;4;4;4;4;4;3;3;1;2;4;4;3;3;3;3;4;4;4;3;4;4;4;4;2;4;2;3;4;4;4;4;4;4;3;1;2;3;3;4;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3;3;2;2;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;1;2;2;4;4;2;2;3;3;3;3;3;3;3;37;3;2;12;4;1;1;1;4;1;13;1;1;2;4;1;42;1;1;0;0;2;1;1;5;4;1;1;1;2
41;0,9531;5/15/2015 19:08:57;5/15/2015 19:27:49;18;3;;4;7;2;3;4;2;2;1;1;1;2;1;3;6;4;3;3;5;5;5;6;6;5;6;1;1;6;1;1;5;4;7;4;4;4;2;2;1;2;2;4;5;1;2;1;1;1;2;2;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;2;4;4;3;3;2;2;2;2;2;3;3;2;2;5;7;1;6;1;5;6;1;2;2;2;3;3;3;2;2;2;3;4;3;4;3;4;4;4;4;2;2;3;2;2;3;3;4;5;5;3;3;5;5;5;2;3;1;3;3;3;1;1;1;1;4;4;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;3;3;3;4;4;2;2;2;1;2;2;2;2;1;2;1;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;3;4;3;3;3;3;4;4;3;3;4;2;1;2;3;2;;;;;;;;;;30;2;2;13;4;1;1;1;5;1;11;1;1;3;7;1;74;2;1;0;0;2;1;1;5;4;1;1;1;3
42;0,5992;5/15/2015 19:09:05;5/15/2015 19:32:18;23;3;;3;7;2;2;1;2;2;2;2;-1;2;3;3;7;5;1;3;2;1;3;3;4;1;3;3;4;4;3;2;5;5;1;1;3;3;2;2;1;2;2;5;5;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;3;4;4;4;4;4;4;4;3;3;3;4;4;3;3;3;3;3;2;2;2;2;2;2;2;3;3;3;3;2;5;5;3;3;3;2;2;2;2;2;2;4;1;1;2;3;3;2;2;1;3;1;1;1;4;3;3;3;1;1;1;1;1;1;5;5;5;2;3;5;5;2;2;2;2;2;2;4;6;3;3;2;2;2;1;1;4;1;3;4;1;2;2;2;2;1;2;2;1;4;3;4;3;4;3;2;2;3;2;1;4;3;3;2;2;2;4;4;4;4;4;4;2;2;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;86;7;4;12;4;1;1;1;2;1;13;1;1;3;5;1;59;0;0;0;0;2;5;1;5;4;1;1;1;3
43;0,9279;5/15/2015 19:09:40;5/15/2015 19:25:07;15;2;;2;6;4;6;6;4;3;1;2;2;2;1;1;4;4;6;5;2;6;2;6;2;6;4;2;6;4;1;4;4;4;6;4;2;4;5;2;2;2;2;3;3;3;3;2;3;2;2;3;2;2;2;2;3;2;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;2;3;2;2;2;4;4;2;2;2;3;3;2;5;2;4;1;1;6;2;2;2;2;3;3;4;4;3;3;4;4;4;4;3;4;4;4;4;4;3;3;4;4;2;2;4;4;4;5;5;2;5;2;1;1;2;2;1;1;4;4;4;4;4;4;4;1;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;1;1;2;4;4;3;2;3;2;1;1;1;3;2;5;2;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;2;4;4;2;4;4;4;4;3;2;1;1;1;1;;;;;;;;;;48;4;3;12;4;4;1;1;2;2;15;1;1;4;9;1;91;0;0;0;0;2;1;1;4;4;1;1;4;2
44;0,9614;5/15/2015 19:09:51;5/15/2015 19:26:56;17;3;;3;2;2;2;4;2;2;1;1;2;2;1;2;6;4;3;5;3;3;5;5;-1;2;4;4;5;5;1;1;5;5;6;5;4;2;2;2;2;2;2;4;5;2;3;2;2;2;3;3;4;4;4;3;4;4;4;3;3;4;4;4;4;4;4;4;4;2;2;4;4;4;2;4;2;2;2;3;2;2;2;3;3;3;2;3;3;2;1;1;3;3;3;1;3;3;1;1;2;2;3;2;2;2;4;4;4;4;4;4;2;4;4;4;4;2;2;2;4;4;2;2;4;5;5;3;3;3;3;3;2;2;2;3;2;2;4;4;4;4;2;3;4;3;4;4;4;2;2;4;3;4;4;4;4;4;4;4;1;1;4;1;1;4;3;3;2;2;2;3;3;3;3;3;2;4;4;4;2;3;3;3;3;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;2;1;3;3;2;3;4;4;4;4;4;4;4;45;4;3;9;2;1;1;1;3;1;14;1;0;3;5;1;58;0;0;0;0;3;1;1;2;2;1;1;1;3
45;1,0506;5/15/2015 19:09:56;5/15/2015 19:57:14;47;10;;1;3;4;6;6;2;3;1;2;2;2;1;1;7;3;4;3;5;6;5;6;6;4;5;1;3;4;1;7;3;1;7;1;2;3;2;2;2;2;2;3;3;2;2;2;2;2;3;2;3;4;4;4;4;4;4;4;4;3;4;4;3;2;4;3;3;4;3;4;4;4;3;4;2;1;1;2;3;3;2;2;2;3;2;3;2;8;3;3;9;5;8;3;3;3;2;2;2;2;2;4;1;3;3;3;3;3;4;4;3;3;4;4;4;4;3;3;4;4;2;2;4;3;3;4;4;4;4;4;3;3;1;3;3;4;5;5;4;4;4;4;4;3;4;4;4;4;4;4;2;3;4;3;4;4;3;3;4;4;3;3;4;4;2;1;2;2;2;2;2;2;2;2;2;3;4;3;3;4;2;2;3;3;3;3;3;3;2;4;3;3;4;3;3;3;2;4;3;2;2;3;2;2;2;3;3;4;4;4;4;4;4;4;4;4;27;2;1;12;4;1;1;1;4;1;18;5;1;3;5;2;54;0;0;0;0;4;1;1;2;4;1;5;1;5
